CANDIDATE_ID,CANDIDATE_NAME,PARTY,PARTY_CODE,CANDIDATE_OFFICE,CANDIDATE_OFFICE_CODE,CANDIDATE_OFFICE_STATE,CANDIDATE_OFFICE_STATE_CODE,CANDIDATE_OFFICE_DISTRICT,CITY,STATE,ZIP,ELECTION_YEAR,RECEIPT_DATE,REPORT_YEAR,BEGIN_IMAGE_NUMBER
"P00017814","BROWN, BENDU","Independent","IND","President","P","Pennsylvania","PA","00","PHILADELPHIA","PA","19120","2020","12-JUN-26","2026","202606129870654277"
"P40009425","HARVEY, TERRANCE JAMES","Democratic Party","DEM","President","P","United States","00","00","WYOMING","MI","49519","2020","02-NOV-24","2024","202411029719917890"
"P00017681","DOMINGUEZ, ELIJAH ANTHONY MR.","Republican Party","REP","President","P","United States","00","00","SACRAMENTO","CA","95816","2019","15-JAN-24","2024","202401159600076466"
"H0NY22117","KRIESEL, KATELYN","Democratic Party","DEM","House","H","New York","NY","22","FAYETTEVILLE","NY","13066","2020","26-JAN-23","2023","202301269575006286"
"H0OK05320","CRAIG, THOMAS JAMES MR JR","Republican Party","REP","House","H","Oklahoma","OK","05","YUKON","OK","73099","2020","09-JAN-23","2023","202301099574639311"
"H0NY01244","GANDLEY, DEAN JOHN JR.","Republican Party","REP","House","H","New York","NY","01","ROCKY POINT","NY","11778","2020","26-MAR-22","2022","202203269495911307"
"H0FL09149","FARBER, STUART","Republican Party","REP","House","H","Florida","FL","09","ORLANDO","FL","32819","2020","31-JAN-22","2022","202201319485311489"
"S0ID00198","NICHOLS, THEODORE ALAN","Democratic Party","DEM","Senate","S","Idaho","ID","00","GARDEN CITY","ID","83714","2020","21-DEC-21","2021","202112219474721659"
"P40004574","WALLS-WINDHAUSER, ANGELA MARIE","Republican Party","REP","President","P","United States","00","00","WINTER GARDEN","FL","34787","2020","25-OCT-21","2021","202110259468349060"
"S0IL00642","LOVELESS, GREGORY DANIEL MR.","American Independent Party","AIP","Senate","S","Illinois","IL","00","GALESBURG","IL","61401","2020","14-FEB-21","2021","202102149427791283"
"P00017624","LLENZA (JENSA), SAMANTHA","Republican Party","REP","President","P","United States","00","00","725 5TH AVE","NY","10022","2020","11-FEB-21","2021","202102119427672073"
"H0MD01232","MASON, MIA","Democratic Party","DEM","House","H","Maryland","MD","01","FREDERICK","MD","21701","2020","25-JAN-21","2021","202101259405397717"
