CANDIDATE_ID,CANDIDATE_NAME,PARTY,PARTY_CODE,CANDIDATE_OFFICE,CANDIDATE_OFFICE_CODE,CANDIDATE_OFFICE_STATE,CANDIDATE_OFFICE_STATE_CODE,CANDIDATE_OFFICE_DISTRICT,CITY,STATE,ZIP,ELECTION_YEAR,RECEIPT_DATE,REPORT_YEAR,BEGIN_IMAGE_NUMBER
"H2VA02098","SLEISTER, NICOLAUS","Democratic Party","DEM","House","H","Virginia","VA","02","SUFFOLK","VA","23435","2022","04-APR-25","2025","202504049755049445"
"P20006144","SOLOMON, DEANDRE LAMONT","Democratic Party","DEM","President","P","Michigan","MI","00","DETROIT","MI","48235","2022","03-OCT-24","2024","202410039684789591"
"H4AL02113","GRAY, JEREMY","Democratic Party","DEM","House","H","Alabama","AL","02","OPELIKA","AL","36804","2022","22-APR-24","2024","202404229636706591"
"H2TX24197","EPPLER, SAM","Democratic Party","DEM","House","H","Texas","TX","24","DALLAS","TX","75205","2022","30-MAY-23","2023","202305309581690567"
"H2IL11272","MERCADO, O KENT DR","Republican Party","REP","House","H","Illinois","IL","11","BARTLETT","IL","60103","2022","06-APR-23","2023","202304069579728986"
"H2CA30341","SHYNE, SEPI","Democratic Party","DEM","House","H","California","CA","30","WEST HOLLYWOOD","CA","90046","2022","21-FEB-23","2023","202302219578712715"
"H0DC00165","MALONE, JOAN F M","Republican Party","REP","House","H","District Of Columbia","DC","00","WASHINGTON","DC","20002","2022","25-JAN-23","2023","202301250300434568"
"H2CA28204","MALKI, DANIEL","Democratic Party","DEM","House","H","California","CA","28","ARCADIA","CA","91006","2022","19-DEC-22","2022","202212199574182224"
"H2VA04185","COX-WARDRICK, ELLIOTT DWIGHT","Independent","IND","House","H","Virginia","VA","04","RICHMOND","VA","23223","2022","19-DEC-22","2022","202212199574180116"
"H2VA04169","MARKS, TAVORISE KEAUNTE","Democratic Party","DEM","House","H","Virginia","VA","04","CHESTER","VA","23836","2022","14-DEC-22","2022","202212149557585066"
"H2VA04177","STURDIFEN, DALE","Republican Party","REP","House","H","Virginia","VA","04","CLARKSVILLE","VA","23927","2021","14-DEC-22","2022","202212149557589647"
"H2VA04151","MORRISSEY, JOSEPH DEE","Democratic Party","DEM","House","H","Virginia","VA","04","RICHMOND","VA","23225","2022","13-DEC-22","2022","202212139557560253"
"P20006094","CAMBERT, ROBERTO FELIX","Republican Party","REP","President","P","United States","00","00","MIAMI SPRINGS","FL","33166","2022","05-DEC-22","2022","202212059547113821"
"S2IL00317","MASTER, LUCY MISS. LIAO","Concerned Citizens Party Of Connecticut","CNC","Senate","S","Illinois","IL","00","WHEATON","IL","60187","2022","02-DEC-22","2022","202212029547101323"
"P20006086","MOLINA, VICTOR RUBEN YMCA","Freedom Party","FRE","President","P","United States","00","00","SAN BERNARDINO","CA","92404","2022","24-NOV-22","2022","202211249546879722"
"P20006060","RODRIGUEZ, JOSHUA","Libertarian Party","LIB","President","P","United States","00","00","AURORA","CO","80011","2021","17-NOV-22","2022","202211179546827792"
"P20006037","TOLLIVER, DAVID AUSTIN","Independent","IND","President","P","United States","00","00","FRANKLIN","TN","37067","2022","15-NOV-22","2022","202211159546788731"
"P20006045","PRESTON, MATTIE","Democratic Party","DEM","President","P","United States","00","00","MINDEN","LA","71055","2022","15-NOV-22","2022","202211150300426445"
"S0KY00255","WILSON, BILLY RAY","Write-In","W","Senate","S","Kentucky","KY","00","LONDON","KY","407447071","2022","08-NOV-22","2022","202211140300426350"
"H2WY01081","BRUBAKER, RICHARD","Other","OTH","House","H","Wyoming","WY","00","RIVERTON","WY","82501","2022","07-NOV-22","2022","202211079546725945"
"P20006029","THOMPSON, NATHANIEL WILLIAM","One Earth Party","OE","President","P","United States","00","00","SAINT PETERSBURG","FL","33705","2022","04-NOV-22","2022","202211049546711463"
"H2NC06171","WATERCOTT, THOMAS","Libertarian Party","LIB","House","H","North Carolina","NC","06","GREENSBORO","NC","27405","2022","04-NOV-22","2022","202211049546708229"
"H2MI05192","BOTTS, PAUL LEON","Independent","IND","House","H","Michigan","MI","05","JACKSON","MI","49203","2022","03-NOV-22","2022","202211039546702552"
"H2MO04249","PARSONS, WYATT VINCENT","No Party Affiliation","NPA","House","H","Missouri","MO","04","COLUMBIA","MO","65203","2022","01-NOV-22","2022","202211019546694727"
"H6MO05189","TURK, JACOB","Republican Party","REP","House","H","Missouri","MO","05","LEES SUMMIT","MO","64063","2022","31-OCT-22","2022","202210319546677289"
"H4TX37013","TAYLOR, SHERRI  LYNN","Democratic Party","DEM","House","H","Texas","TX","37","AUSTIN","TX","787112108","2022","31-OCT-22","2022","202210310300425240"
"H2AZ08201","SPREITZER, JEREMY","Democratic Party","DEM","House","H","Arizona","AZ","08","SUN CITY","AZ","85373","2022","30-OCT-22","2022","202210309546675252"
"H2AZ08193","SPREITZER, JEREMY","Democratic Party","DEM","House","H","Arizona","AZ","08","SUN CITY","AZ","85373","2022","29-OCT-22","2022","202210299546673094"
"S2IA00198","WELLS, MAURICE STEWART","Republican Party","REP","Senate","S","Iowa","IA","00","SIOUX CITY","IA","51106","2022","17-OCT-22","2022","202210179537512956"
"S2MD00651","WILDMAN, ANDREW JAYE","None","NNE","Senate","S","Maryland","MD","00","UNION BRIDGE","MD","217919425","2022","17-OCT-22","2022","202210170300420583"
"S2PA00729","ORONZIO, GEORGE F MR JR","None","NNE","Senate","S","Pennsylvania","PA","00","GLEN RIDDLE","PA","19063","2022","16-OCT-22","2022","202210169537512852"
