CANDIDATE_ID,CANDIDATE_NAME,PARTY,PARTY_CODE,CANDIDATE_OFFICE,CANDIDATE_OFFICE_CODE,CANDIDATE_OFFICE_STATE,CANDIDATE_OFFICE_STATE_CODE,CANDIDATE_OFFICE_DISTRICT,CITY,STATE,ZIP,ELECTION_YEAR,RECEIPT_DATE,REPORT_YEAR,BEGIN_IMAGE_NUMBER
"S8TX00475","KRAUS, CONNOR G","Republican Party","REP","Senate","S","Texas","TX","00","HOUSTON","TX","77002","2018","22-NOV-25","2025","202511229793329396"
"H8NY22177","RILEY, JOSH","Democratic Party","DEM","House","H","New York","NY","22","ENDICOTT","NY","13760","2018","09-NOV-21","2021","202111099468446951"
"H0FL20112","JONES, LATERESA ANN","Republican Party","REP","House","H","Florida","FL","20","PAHOKEE","FL","33476","2018","23-OCT-19","2019","201910239165278000"
"S8GA00180","OSSOFF, T. JONATHAN","Democratic Party","DEM","Senate","S","Georgia","GA","00","ATLANTA","GA","31145","2018","10-SEP-19","2019","201909109163208231"
"S8TX00459","TZINTZUN RAMIREZ, CRISTINA","Democratic Party","DEM","Senate","S","Texas","TX","00","AUSTIN","TX","78703","2018","12-AUG-19","2019","201908129162843430"
"H8TX10185","HUTCHESON, SHANNON","Democratic Party","DEM","House","H","Texas","TX","10","AUSTIN","TX","78703","2018","20-MAY-19","2019","201905209149819438"
"P80006117","KLOBUCHAR, AMY J.","Democratic Party","DEM","President","P","United States","00","00","MINNEAPOLIS","MN","55418","2018","11-FEB-19","2019","201902119145496419"
"H8NJ12108","KIPNIS, DARYL","Republican Party","REP","House","H","New Jersey","NJ","12","SOMERSET","NJ","08873","2018","25-NOV-18","2018","201811259133807861"
"H4FL14091","NEELD, ROBERT M. JR.","Democratic Party","DEM","House","H","Florida","FL","19","CAPE CORAL","FL","339101508","2018","20-NOV-18","2018","201811209133802237"
"P20005203","PINKNEY, PAMELA M REV","Other","OTH","President","P","United States","00","11","EUCLID","OH","44117","2018","19-NOV-18","2018","201811190300247845"
"S8MO00327","CRAIN, JO","Green Party","GRE","Senate","S","Missouri","MO","00","KANSAS CITY","MO","64109","2018","19-NOV-18","2018","201811199133692303"
"P80006091","HAFNER, CAROL","Democratic Party","DEM","President","P","United States","00","00","BOX ELDER","SD","57719","2018","17-NOV-18","2018","201811179133688965"
"S8NJ00558","HOFFMAN, MADELYN R","Green Party","GRE","Senate","S","New Jersey","NJ","00","FLANDERS","NJ","07836","2018","16-NOV-18","2018","201811160300247524"
"S8NY00249","TADESHE, MARY RONKE","Independent Conservative Democratic","ICD","Senate","S","New York","NY","00","BROOKLYN","NY","11216","2018","09-NOV-18","2018","201811099133642376"
"S8SC00134","WHITE, JOE MR.","Republican Party","REP","Senate","S","South Carolina","SC","00","MYRTLE BEACH","SC","29579","2018","05-NOV-18","2018","201811059133587753"
"H8PA07309","SHUPE, LEWIS ARTHUR","Independent","IND","House","H","Pennsylvania","PA","07","ALLENTOWN ","PA","18101","2018","01-NOV-18","2018","201811010300245919"
"H0CA17185","KABAT, RONALD P.","No Party Affiliation","NPA","House","H","California","CA","20","CARMEL-BY-THE-SEA","CA","939210006","2018","22-OCT-18","2018","201810260300244138"
"H8FL17079","ELLISON, ALLEN L","Democratic Party","DEM","House","H","Florida","FL","17","WAUCHULA","FL","33873","2018","21-OCT-18","2018","201810219130587942"
"H8DC00192","CHEEKS, JOHN C","Independent American Party","IAP","House","H","District Of Columbia","DC","00","WASHINGTON","DC","20007","2018","18-OCT-18","2018","201810180300238682"
"H8NJ07256","MOXLEY, DIANE","Green Party","GRE","House","H","New Jersey","NJ","07","GARWOOD","NJ","07027","2018","17-OCT-18","2018","201810170300237429"
"S8RI00177","COSTA, MICHAEL","Independent","IND","Senate","S","Rhode Island","RI","00","BRISTOL","RI","028099998","2018","16-OCT-18","2018","201810169125548990"
"H8PA16094","BEEMAN, EBERT GORDAN","Libertarian Party","LIB","House","H","Pennsylvania","PA","16","ERIE","PA","16510","2018","13-OCT-18","2018","201810139124739087"
"H8MD04239","BISHOP, DAVID ANTHONY DARK HORSE","Libertarian Party","LIB","House","H","Maryland","MD","04","ARNOLD","MD","21012","2018","12-OCT-18","2018","201810129124516955"
"S8ME00171","RILEY JR, JAMES N","Unknown","","Senate","S","Maine","ME","00","","","","2018","11-OCT-18","2018","201810160300236604"
"H8NY14133","PAPPAS, ANTHONY","Republican Party","REP","House","H","New York","NY","14","ASTORIA","NY","11102","2018","10-OCT-18","2018","201810100300232459"
"S8WV00184","HALL, JUSTIN HAYWARD","Independent American Party","IAP","Senate","S","West Virginia","WV","00","CHARLESTON","WV","25314","2018","09-OCT-18","2018","201810099124416055"
"H8NM03246","MANNING, CHRISTOPHER","Libertarian Party","LIB","House","H","New Mexico","NM","03","KIRKLAND","NM","874179310","2018","04-OCT-18","2018","201810049124298864"
"H4NY07102","KURZON, JEFFREY M","Democratic Party","DEM","House","H","New York","NY","07","NEW YORK","NY","10002","2018","02-OCT-18","2018","201810029124273533"
"H8WV02123","LUTZ JR, DANIEL P 'DANNY'","Mountain Party","MTP","House","H","West Virginia","WV","02","CHARLES TOWN","WV","254144643","2018","01-OCT-18","2018","201810010300230359"
"H8TN05302","WEAVER, MARSHAL","Write-In","W","House","H","Tennessee","TN","05","NASHVILLE","TN","37206","2018","25-SEP-18","2018","201809259124242323"
"H8DE01051","WEBB, ANDREW C","Write-In","W","House","H","Delaware","DE","00","SEAFORD","DE","19973","2018","23-SEP-18","2018","201809239124235539"
"S8NY00231","TEMURI, PRINCE MUHAMMAD ALI HH","Independent","IND","Senate","S","New York","NY","00","NEW YORK","NY","10001","2018","22-SEP-18","2018","201809229124232229"
"S8OH00144","FARIS, STEPHEN I MR","Unknown","","Senate","S","Ohio","OH","00","FAIRBORN","OH","45324","2018","21-SEP-18","2018","201809280200744160"
"H8IA04163","PETERSON, EDWARD","No Party Affiliation","NPA","House","H","Iowa","IA","04","ESTHERVILLE","IA","51334","2018","19-SEP-18","2018","201809199121989207"
"H8CO06294","KULIKOWSKI, JAIMIE - NONE -","Natural Law Party","NLP","House","H","Colorado","CO","06","DENVER","CO","80247","2018","19-SEP-18","2018","201809199122008473"
"H2WY00133","CUMMINGS, DANIEL CLYDE","Constitution Party","CON","House","H","Wyoming","WY","00","CASPER ","WY","826021069","2018","19-SEP-18","2018","201809260300229922"
"H8TN04123","STEELE, RUSSELL WAYNE MR.","Independent","IND","House","H","Tennessee","TN","04","FAYETTEVILLE","TN","37334","2018","15-SEP-18","2018","201809159121719706"
"S2AZ00273","BILYEU, SHEILA","Democratic Party","DEM","Senate","S","Arizona","AZ","00","FLAGSTAFF","AZ","86003","2018","10-SEP-18","2018","201809190200727267"
"H6TN08250","STOTTS-PEARSON, ERIKA","Democratic Party","DEM","House","H","Tennessee","TN","08","CORDOVA","TN","38088","2018","07-SEP-18","2018","201809079121658590"
"S8RI00151","DE LA FUENTE, ROQUE ROCKY","Republican Party","REP","Senate","S","Rhode Island","RI","00","SAN DIEGO","CA","92121","2018","06-SEP-18","2018","201809100200726389"
"H8TX02232","CUBBLER, SCOTT RALSTON MR.","Independent","IND","House","H","Texas","TX","02","HOUSTON","TX","77043","2018","04-SEP-18","2018","201809049121557088"
"H6MO05189","TURK, JACOB","Republican Party","REP","House","H","Missouri","MO","05","LEES SUMMIT","MO","64063","2018","29-AUG-18","2018","201808299121536578"
"S8MD00393","PUSKAR, MICHAEL B","Other","OTH","Senate","S","Maryland","MD","00","GAITHERSBURG","MD","20898","2018","29-AUG-18","2018","201808300200724235"
"H8LA02161","BATISTE, BELDEN NOONIE MAN MR. SR.","Independent","IND","House","H","Louisiana","LA","02","NEW ORLEANS","LA","70119","2018","28-AUG-18","2018","201808289121533695"
"H8LA02153","SCHMIDT, JESSE GULF COAST","No Party Affiliation","NPA","House","H","Louisiana","LA","02","GRETNA","LA","70053","2018","27-AUG-18","2018","201808279121531603"
"S8HI00210","CURTIS , RON","Republican Party","REP","Senate","S","Hawaii","HI","00","KALAHEO","HI","96741","2018","27-AUG-18","2018","201809040200724375"
"H8PA07283","JOHNSTON, BRIANNA","Green Party","GRE","House","H","Pennsylvania","PA","07","ELVERSON","PA","19520","2018","27-AUG-18","2018","201808279121531456"
"H8NC13075","BAILEY, THOMAS AARON","Libertarian Party","LIB","House","H","North Carolina","NC","13","GREENSBORO","NC","27403","2018","27-AUG-18","2018","201808270300227870"
"H4DC00092","RIMENSNYDER, NELSON FREDERICK","Republican Party","REP","House","H","District Of Columbia","DC","00","WASHINGTON","DC","200026017","2018","23-AUG-18","2018","201808230300227781"
"H8CO07128","NACKERUD, JENNIFER","Libertarian Party","LIB","House","H","Colorado","CO","07","WESTMINSTER","CO","80234","2018","21-AUG-18","2018","201808219121506338"
"H8KY06214","WALLIN, RIKKA L","Independent","IND","House","H","Kentucky","KY","06","LEXINGTON","KY","40509","2018","21-AUG-18","2018","201808219121508224"
"S8MA00342","PIMENTEL, SARAH GENOVA","Independent","IND","Senate","S","Massachusetts","MA","00","EAST BOSTON","MA","02128","2018","16-AUG-18","2018","201808160200690679"
"S8NM00226","JOHNSON, GARY","Libertarian Party","LIB","Senate","S","New Mexico","NM","00","ALBUQUERQUE","NM","87102","2018","15-AUG-18","2018","201808200200702851"
"S8AZ00296","KOKESH, ADAM","Libertarian Party","LIB","Senate","S","Arizona","AZ","00","ASH FORK","AZ","60625","2018","14-AUG-18","2018","201808200200702417"
